Agrément	Localité	Désignation	Ligue	Département
0502020	MONTIGNY L'ALLIER	CIE D'ARC MONTIGNY L'ALLIER	0200000	020002000
0502021	NEUILLY SAINT FRONT	CIE D'ARC DE NEUILLY ST FRONT	0200000	020002000
0502022	VILLENEUVE SUR FERE	2EME CIE DE VILLENEUVE/FERE	0200000	020002000
0502023	VILLERS COTTERETS	CIE D ARC DE VILLERS COTTERETS	0200000	020002000
0502025	FERE EN TARDENOIS	UAF FERE EN TARDENOIS	0200000	020002000
0502026	COINCY	COMPAGNIE DE COINCY	0200000	020002000
0502030	VIVIERES	ASSOCIATION STE CLOTILDE	0200000	020002000
0660001	ARSY	CIE D'ARC D'ARSY	0200000	020060000
0660005	CLAIROIX	COMPAGNIE D'ARC DE CLAIROIX	0200000	020060000
0660006	COUDUN	COMPAGNIE D'ARC DE COUDUN	0200000	020060000
0660007	ESTREES ST DENIS	COMPAGNIE D'ARC D'ESTREES	0200000	020060000
0660009	JANVILLE	CIE D'ARC LA JANVILLOISE	0200000	020060000
0660010	JAUX	CIE D'ARC DE JAUX	0200000	020060000
0660011	JONQUIERES	CIE D'ARC DE JONQUIERES	0200000	020060000
0660012	LASSIGNY	CIE ARC DE LASSIGNY	0200000	020060000
0660013	MARGNY LES COMPIEGNE	CIE D'ARC  L'ESPERANCE	0200000	020060000
0660015	MONCHY HUMIERES	CIE D'ARC DE MONCHY	0200000	020060000
0660016	REMY	COMPAGNIE D'ARC DE REMY	0200000	020060000
0660017	THOUROTTE	CIE D'ARC DE THOUROTTE	0200000	020060000
0660021	VILLERS SUR COUDUN	COMPAGNIE D'ARC DE VILLERS	0200000	020060000
0660024	RESSONS S/MATZ	LES ARCHERS RESSONTOIS	0200000	020060000
0660026	GOURNAY SUR ARONDE	CIE D'ARC DE GOURNAY SUR ARONDE	0200000	020060000
0660027	VIGNEMONT	COMPAGNIE D'ARC DE VIGNEMONT	0200000	020060000
0760005	CANNY SUR MATZ	CIE D'ARC CANNY SUR MATZ	0200000	020060000
0780001	AMIENS	CIE D'ARC D'AMIENS	0200000	020080000
0780002	ANDECHY	LES ARCHERS D'ANDECHY	0200000	020080000
0780003	ARVILLERS	CIE D'ARC D'ARVILLERS	0200000	020080000
0780006	CACHY	LES ARCHERS DE CACHY	0200000	020080000
0780007	DOULLENS	CIE DES FRANCS ARCHERS	0200000	020080000
0780009	LA BOISSIERE-FESCAMPS	LA BOISSIERE-FESCAMPS	0200000	020080000
0780010	MONTDIDIER	CIE D'ARC DE MONTDIDIER	0200000	020080000
0780011	PIENNES-ONVILLERS	CIE D'ARC DE PIENNES	0200000	020080000
0780013	VILLERS BRETONNEUX	UNION DES ARCHERS	0200000	020080000
0780016	BROUCHY	CIE D'ARC DE BROUCHY	0200000	020080000
0780018	ESMERY HALLON	ESMERY HALLON	0200000	020080000
0780021	ROYE	CIE D ARC DE ROYE	0200000	020080000
